Lead_ID,Email,Region,Industry,Company_Size,Job_Level,Lead_Score,Priority,Conversion_Probability,Predicted_Conversion,Total_Sessions,Engagement_Score,Days_Since_Last_Activity,Viewed_Pricing_Page,Requested_Demo,Source
LEAD_00001,lead1@example.com,Africa,Technology,51-200,Manager,89,HOT,0.895,True,18,101.4,0,1,1,Google Ads
LEAD_00002,lead2@example.com,Latin America,Manufacturing,11-50,Manager,46,COOL,0.4687,False,9,12.0,5,0,0,Email Campaign
LEAD_00003,lead3@example.com,Asia Pacific,Retail,1-10,Director,15,COLD,0.1559,False,8,0.0,24,0,0,Google Ads
LEAD_00004,lead4@example.com,North America,Technology,51-200,Director,89,HOT,0.89,True,19,81.2,0,0,1,LinkedIn
LEAD_00005,lead5@example.com,Latin America,Technology,1-10,Manager,11,COLD,0.1112,False,2,0.0,34,0,0,Google Ads
LEAD_00006,lead6@example.com,Latin America,Manufacturing,1000+,Manager,39,COOL,0.3965,False,4,27.85,5,1,0,Website
LEAD_00007,lead7@example.com,Asia Pacific,Technology,11-50,VP,15,COLD,0.1569,False,6,1.15,6,0,0,LinkedIn
LEAD_00008,lead8@example.com,Africa,Education,201-1000,VP,65,WARM,0.6508,True,4,29.2,0,0,1,Cold Outreach
LEAD_00009,lead9@example.com,Middle East,Consulting,11-50,Director,94,HOT,0.945,True,9,72.75,2,1,0,Partner
LEAD_00010,lead10@example.com,Latin America,Healthcare,201-1000,VP,11,COLD,0.1119,False,7,8.25,32,1,0,LinkedIn
LEAD_00011,lead11@example.com,Africa,Consulting,11-50,Manager,16,COLD,0.1613,False,4,4.3,1,0,0,Content Download
LEAD_00012,lead12@example.com,Middle East,SaaS,1000+,Individual Contributor,24,COLD,0.2467,False,8,12.95,2,0,0,LinkedIn
LEAD_00013,lead13@example.com,Asia Pacific,Education,1-10,Manager,18,COLD,0.1886,False,3,13.35,6,0,0,Facebook
LEAD_00014,lead14@example.com,Africa,Retail,51-200,VP,26,COLD,0.2671,False,8,40.7,2,1,0,Email Campaign
LEAD_00015,lead15@example.com,Middle East,Finance,201-1000,Manager,85,HOT,0.85,True,13,69.6,2,1,0,Content Download
LEAD_00016,lead16@example.com,Africa,Real Estate,11-50,Senior Manager,58,WARM,0.5885,True,2,16.75,2,1,0,Email Campaign
LEAD_00017,lead17@example.com,Africa,Real Estate,1000+,Senior Manager,31,COOL,0.3169,False,7,12.9,4,1,0,Content Download
LEAD_00018,lead18@example.com,Middle East,Retail,51-200,Director,21,COLD,0.2107,False,7,12.35,3,0,0,Cold Outreach
LEAD_00019,lead19@example.com,Middle East,Manufacturing,201-1000,VP,85,HOT,0.85,True,15,82.85,7,1,0,Partner
LEAD_00020,lead20@example.com,Europe,Technology,1-10,Manager,24,COLD,0.2475,False,7,27.75,1,1,0,Facebook
LEAD_00021,lead21@example.com,Middle East,Technology,1000+,Manager,20,COLD,0.2021,False,3,7.65,0,0,0,Trade Show
LEAD_00022,lead22@example.com,Africa,E-commerce,201-1000,C-Level,86,HOT,0.865,True,17,98.1,2,1,1,Referral
LEAD_00023,lead23@example.com,Middle East,SaaS,201-1000,Director,22,COLD,0.2202,False,5,16.45,1,0,0,Website
LEAD_00024,lead24@example.com,Europe,E-commerce,1-10,Director,20,COLD,0.2054,False,5,16.7,30,1,0,Partner
LEAD_00025,lead25@example.com,North America,Retail,1-10,C-Level,48,COOL,0.4898,False,8,13.5,19,0,0,Email Campaign
LEAD_00026,lead26@example.com,North America,SaaS,201-1000,Director,88,HOT,0.88,True,15,56.05,6,1,0,Referral
LEAD_00027,lead27@example.com,Latin America,Real Estate,51-200,C-Level,23,COLD,0.2378,False,7,11.15,1,0,0,Google Ads
LEAD_00028,lead28@example.com,Latin America,SaaS,201-1000,Senior Manager,35,COOL,0.3561,False,7,26.65,2,0,0,Partner
LEAD_00029,lead29@example.com,Latin America,Technology,1-10,Senior Manager,8,COLD,0.0885,False,5,0.0,54,0,0,Trade Show
LEAD_00030,lead30@example.com,Africa,Retail,11-50,C-Level,55,WARM,0.5537,True,1,9.55,9,0,0,Facebook
LEAD_00031,lead31@example.com,Asia Pacific,Consulting,201-1000,Senior Manager,23,COLD,0.2387,False,5,16.85,13,1,0,Trade Show
LEAD_00032,lead32@example.com,Europe,Real Estate,201-1000,Director,90,HOT,0.905,True,9,76.5,2,1,1,Content Download
LEAD_00033,lead33@example.com,Africa,Consulting,1-10,C-Level,77,HOT,0.7737,True,4,35.5,12,1,0,Referral
LEAD_00034,lead34@example.com,Asia Pacific,E-commerce,201-1000,Director,92,HOT,0.92,True,15,74.15,3,1,0,Content Download
LEAD_00035,lead35@example.com,Asia Pacific,SaaS,201-1000,C-Level,45,COOL,0.4507,False,5,9.15,9,1,0,Facebook
